codigo;Título;Marca;Preço;imagem;tamanho;Categoria;Subcategoria;Cod_marca;Column10
0;Shampoo Braé Essential;BRAÉ HAIR CARE;85;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dwe14494e9/images/hi-res-BR/PDPs/Bráe/Essential/Shampoo/250ml/BRA_ESSENTIAL_SH_FRENTE_1000px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;0;Nacional
1;Shampoo Nioxin Sistema 1;NIOXIN;259;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dwb6c7f87c/images/hi-res-BR/PDPs/Nioxin/Sistema1/Shampoo1L/8005610494883_1_1000px-removebg.png;sw=216&sh=216&sm=fit;cabelos;shampoo;1;Internacional
2;Shampoo Revitalizante e Fortificante Guerlain Abeille Royale;GUERLAIN;459;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dw6e5c9f3e/images/hi-res-BR/PDPs/Guerlain/ShampooAbeilleRoyale/3346470618862_1_1500px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;2;Internacional
3;Shampoo L'Oréal Professionnel Serie Expert Scalp Anticaspa Dermo Clarifier;L'ORÉAL PROFESSIONNEL;159;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dw72570d56/images/hi-res-BR/PDPs/L'oreal%20Proffesionnel/Scalp/ShampooAnticaspa/300ml/3474637109370%201%20_1500px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;3;Internacional
4;Shampoo L'Oréal Professionnel Serie Expert Serioxyl Densificante Purifier & Bodifier;L'ORÉAL PROFESSIONNEL;193;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dwc3c55899/images/hi-res-BR/PDPs/L'oreal%20Proffesionnel/Scalp/ShampooDensificante300ml/3474637106393%201_1500px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;3;Internacional
5;Shampoo Kérastase Nutritive Bain Satin Riche;KÉRASTASE;237;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dw1fbe0b65/images/hi-res-BR/PDPs/Kérastase/NutritiveRevamp/ShampooBainRiche/3474637154943%20(1)_1000px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;4;Internacional
6;Shampoo Schwarzkopf Blonde Me Neutralizante para Loiros Frios;SCHWARZKOPF PROFESSIONAL;149;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dw07a55b43/images/hi-res-BR/PDPs/Schwarzkopf/BM/NShmp/BM_CoolBlondes_Neutralizing-Shampoo_300_4045787640113_1000px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;5;Internacional
7;Shampoo Sisley Hair Rituel Color Perfecting;SISLEY;600;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dwf446aa06/images/hi-res-BR/PDPs/Sisley/HairRituel/ColorPerfectingShampoo/3473311693402_01_1500px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;6;Internacional
8;Shampoo Schwarzkopf BlondMe All Blondes Light;SCHWARZKOPF PROFESSIONAL;149;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dwacbda718/images/hi-res-BR/PDPs/Schwarzkopf/BM/LShmp/MA_BM_SH_CGP_FL_AllBlondesLight_300_0820_P1_2_1000px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;5;Internacional
9;Shampoo Enriquecido Schwarzkopf BlondMe All Blondes Rich;SCHWARZKOPF PROFESSIONAL;149;https://www.sephora.com.br/dw/image/v2/BFJC_PRD/on/demandware.static/-/Sites-masterCatalog_Sephora/pt_BR/dwf535fb7b/images/hi-res-BR/PDPs/Schwarzkopf/BM/RShmp/BM_AllBlondes_Rich-Shampoo_300_4045787639834_1000px.jpg;sw=216&sh=216&sm=fit;cabelos;shampoo;5;Internacional
